,Persistence,BiLSTM,BiLSTM+BoW,BiLSTM+gemini-2.5-flash,BiLSTM+FinBERT
RMSE,13.2156,29.2919,19.9159,46.2762,23.616
MAE,9.8148,23.9963,15.1331,40.7292,18.4853
MAPE,3.1279,7.1783,4.6752,12.1311,5.5553
DA,-,0.5204,0.5353,0.4981,0.5428
